City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,genhe,50.7833,121.5167,-27.05,100,98,1.42,CN,1707240472
234,north bend,43.4065,-124.2243,7.82,100,20,3.09,US,1707240473
235,northam,51.0333,-4.2167,12.36,96,100,12.71,GB,1707240267
236,puerto princesa,9.7392,118.7353,25.35,83,12,0.7,PH,1707240473
237,bikenibeu village,1.3673,173.1241,28.98,84,40,2.06,KI,1707240473
238,dudinka,69.4058,86.1778,-24.62,91,78,3.13,RU,1707240423
239,elk city,35.412,-99.4043,12.12,76,0,6.69,US,1707240474
240,bay roberts,47.5999,-53.2648,1.48,96,100,7.6,CA,1707240474
241,haiku-pauwela,20.9219,-156.3051,21.69,72,20,9.26,US,1707240474
242,qamdo,31.1667,97.2333,-6.37,40,100,3.07,CN,1707240474
243,les anglais,18.3054,-74.2197,26.7,59,20,5.9,HT,1707240474
244,pama,11.2497,0.7075,33.49,9,31,4.37,BF,1707240475
245,werder,52.3787,12.934,11.7,71,100,10.05,DE,1707240475
246,livadiya,42.8692,132.6764,-13.37,60,38,5.1,RU,1707240475
247,basco,20.4487,121.9702,24.22,84,37,4.81,PH,1707240475
248,klyuchi,52.2667,79.1667,-8.94,86,80,4.44,RU,1707240346
249,borgo valsugana,46.0514,11.4544,10.2,68,90,0.68,IT,1707240475
250,nasiriyah,31.0521,46.261,17.69,41,30,3.48,IQ,1707240476
251,port saint john's,-31.6229,29.5448,25.5,82,22,7.66,ZA,1707240476
252,ligaya,12.6599,120.8923,24.96,81,72,1.45,PH,1707240476
253,harper,4.375,-7.7169,30.25,68,6,6.11,LR,1707240476
254,ashmun,30.2986,30.9764,19.47,59,6,3.98,EG,1707240476
255,nova xavantina,-14.6667,-52.35,33.3,48,67,0.05,BR,1707240476
256,kolonia,50.9333,6.95,12.12,75,75,9.77,DE,1707240477
257,labrador city,52.9463,-66.9114,-11.05,48,20,0.0,CA,1707240477
258,healesville,-37.65,145.5167,12.9,99,0,1.27,AU,1707240422
259,san juan de uraba,8.7592,-76.5297,30.89,62,1,3.9,CO,1707240477
260,tinghir,31.5157,-5.5343,15.45,22,37,2.95,MA,1707240478
261,suleja,9.1758,7.1808,34.52,12,58,1.33,NG,1707240478
262,taoudenni,22.6783,-3.9836,27.36,7,4,4.89,ML,1707240478
263,paea,-17.6833,-149.5833,28.84,84,75,3.6,PF,1707240478
264,sisimiut,66.9395,-53.6735,-12.15,63,100,8.25,GL,1707240264
265,fort st. john,56.2499,-120.8529,-9.06,79,75,5.14,CA,1707240479
266,portage la prairie,49.9728,-98.2926,2.05,85,100,3.6,CA,1707240479
267,yelan',50.949,43.7378,-4.15,87,100,7.27,RU,1707240479
268,edson,53.5835,-116.4356,-8.92,92,100,1.54,CA,1707240479
269,isna,25.2934,32.554,17.01,35,0,3.76,EG,1707240479
270,idri,27.5,13.2667,14.68,32,6,2.24,LY,1707240480
271,zheleznogorsk,52.331,35.3711,-6.36,95,100,2.83,RU,1707240480
272,ryotsu-minato,38.0833,138.4333,2.86,68,92,0.67,JP,1707240480
273,katsuren-haebaru,26.3369,127.8719,18.01,73,100,2.92,JP,1707240271
274,tanout,14.9709,8.8879,23.97,12,49,7.06,NE,1707240480
275,ebon,4.582,168.6964,27.8,76,96,5.41,MH,1707240481
276,happy valley-goose bay,53.3168,-60.3315,-8.83,48,20,2.06,CA,1707240481
277,punta del este,-34.9667,-54.95,33.06,40,75,3.09,UY,1707240481
278,hirara,24.8,125.2833,17.92,82,20,4.63,JP,1707240228
279,kitimat,54.0524,-128.6534,-4.06,99,77,1.34,CA,1707240289
280,riverton,40.5219,-111.9391,8.81,75,100,4.02,US,1707240308
281,hamada,34.8833,132.0833,5.8,83,100,2.78,JP,1707240482
282,montecristo,8.2971,-74.4733,31.15,68,39,1.3,CO,1707240482
283,nova vicosa,-17.8919,-39.3719,30.38,59,64,5.2,BR,1707240483
284,mungaa,-4.9667,34.8833,18.14,85,81,1.11,TZ,1707240483
285,al burayqah,30.4062,19.5739,16.49,71,0,3.01,LY,1707240415
286,i-n-salah,27.1935,2.4607,20.59,13,87,2.01,DZ,1707240484
287,kavaratti,10.5669,72.642,28.19,72,0,2.67,IN,1707240484
288,kapuskasing,49.4169,-82.4331,2.05,93,100,3.6,CA,1707240394
289,minas de marcona,-15.2119,-75.1103,23.42,69,46,4.72,PE,1707240485
290,mineiros,-17.5694,-52.5511,23.91,74,100,1.59,BR,1707240485
291,carutapera,-1.195,-46.02,30.19,67,70,4.85,BR,1707240485
292,nemuro,43.3236,145.575,-8.08,73,8,3.02,JP,1707240486
293,manicore,-5.8092,-61.3003,35.09,44,26,2.34,BR,1707240486
294,inhambane,-23.865,35.3833,26.99,83,20,3.6,MZ,1707240396
295,yuzhno-kurilsk,44.0306,145.8556,-8.68,81,40,3.57,RU,1707240308
296,saint-affrique,43.9558,2.8892,7.11,86,100,2.52,FR,1707240487
